ID,text,start,end
AA,Alcoa Corporation,1962,2020
AAPL,Apple Inc.,1980,2020
AXP,American Express Company,1972,2020
BAC,Bank of America Corporation,1973,2020
BA,The Boeing Company,1962,2020
BANK,Generic Bank,1970,2020
BTI,British American Tobacco p.l.c.,1980,2020
CAT,Caterpillar Inc.,1962,2020
C,Citigroup Inc.,1977,2020
CSCO,Citigroup Inc. ,1990,2020
CVX,Chevron Corporation,1962,2020
DIS,The Walt Disney Company,1962,2020
GE,General Electric Company,1962,2020
GIS,General Mills Inc,1980,2020
GT,The Goodyear Tire & Rubber Companyy,1962,2020
HPQ,HP Inc.,1962,2020
IBM,International Business Machines Corporation,1962,2020
IHC,Independence Holding Company,1982,2020
IP,International Paper Company,1962,2020
JNJ,Johnson and Johnson,1962,2020
JP,Jupai Holdings Limited,2015,2020
JPM,JPMorgan Chase & Co.,1980,2020
MCD,McDonald's Corporation,1966,2020
MMM,3M Company,1970,2020
MRK,Merck & Co.; Inc,1970,2020
NAV,Navistar International Corporation,1962,2020
NKE,NIKE Inc.,1980,2020
PFE,Pfizer Inc.,1972,2020
PG,Procter & Gamble Company,1962,2020
T,AT&T,1983,2020
TRV,The Travelers Companies Inc.,1975,2020
UTX,United Technologies Corporation,1970,2020
VFC,V.F. Corporation,1980,2020
XOM,Exxon Mobil Corporation,1962,2020
